street_number,street_name,apt_number,city,state,zipcode,lat,long
2331, Bryant St,0,San_Francisco, CA,94110,37.757057,-122.409218
564, Liberty St,0,San_Francisco, CA,94114,37.75718,-122.433833
2612, Buchanan Street, # Top Floor, San_Francisco, CA,94115,37.787752,-122.438231
1740, Pacific Ave, APT 205, San_Francisco, CA,94109,37.794982,-122.424074
455, Arlington St, APT 5, San_Francisco, CA,94131,37.73549,-122.429126
1057, Valencia St,0,San_Francisco, CA,94110,37.756057,-122.420862
1386, 47TH Ave,0,San_Francisco, CA,94122,37.76067,-122.506755
, 17th St,0,San_Francisco, CA,94107,37.76491,-122.400641
507, Haight St,0,San_Francisco, CA,94117,37.771938,-122.430785
33, Lupine Ave,0,San_Francisco, CA,94118,37.784517,-122.448849
2672, Great Hwy,0,San_Francisco, CA,94116,37.736697,-122.506078
530, Noe St,0,San_Francisco, CA,94114,37.76039,-122.432717
1101, Pacific Ave, APT 301, San_Francisco, CA,94133,37.795947,-122.41355
929, Oak St,0,San_Francisco, CA,94117,37.773197,-122.434661
3675, Fillmore St, APT 102, San_Francisco, CA,94123,37.803903,-122.437408
1050, 17th St, APT 202, San_Francisco, CA,94107,37.765519,-122.394468
465, 10th St, # 304, San_Francisco, CA,94103,37.770952,-122.410054
, 16th Ave,0,San_Francisco, CA,94116,37.745044,-122.472925
127, Crescent Ave,0,San_Francisco, CA,94110,37.735373,-122.421991
922, Post St,0,San_Francisco, CA,94109,37.787477,-122.417094
267, Chenery St,0,San_Francisco, CA,94131,37.737528,-122.426814
3848, 26th St,0,San_Francisco, CA,94131,37.748811,-122.425996
878, Greenwich St,0,San_Francisco, CA,94133,37.801756,-122.414224
666, Post St, APT 704, San_Francisco, CA,94109,37.787933,-122.41289
142, Irving St,0,San_Francisco, CA,94122,37.764493,-122.459613
415, Gonzalez Dr,0,San_Francisco, CA,94132,37.715964,-122.476901
1562, Dolores St,0,San_Francisco, CA,94110,37.744282,-122.42481
535, Leavenworth St, APT 32, San_Francisco, CA,94109,37.785966,-122.415056
135, Carl St, APT 5, San_Francisco, CA,94117,37.765434,-122.450845
655, Powell St, APT 702, San_Francisco, CA,94108,37.790829,-122.409153
,876A Lombard St,0,San_Francisco, CA,94133,37.802594,-122.415895
2758, Baker St,0,San_Francisco, CA,94123,37.796658,-122.445388
640, Davis St UNIT 35,0,San_Francisco, CA,94111,37.798441,-122.398378
50, Chumasero Dr, APT 12H,San_Francisco, CA,94132,37.714369,-122.473613
410, Washington Blvd, # A, San_Francisco, CA,94129,37.795519,-122.466673
1610, Sutter St, APT 403, San_Francisco, CA,94109,37.787061,-122.427084
285, Paris St, # A, San_Francisco, CA,94112,37.724063,-122.43279
3245, Vicente St, APT 1, San_Francisco, CA,94116,37.737911,-122.501897
33, Dalewood Way,0,San_Francisco, CA,94127,37.736963,-122.454622
1450, Cole St,0,San_Francisco, CA,94117,37.760967,-122.448956
1, Baker St,0,San_Francisco, CA,94117,37.770968,-122.440732
50, Belcher St,0,San_Francisco, CA,94114,37.768588,-122.43034
2372, Vallejo St,0,San_Francisco, CA,94123,37.795341,-122.436452
, 47th Ave,0,San_Francisco, CA,94116,37.74359,-122.505824
2786, Filbert St,0,San_Francisco, CA,94123,37.796935,-122.445373
874, Hampshire St,0,San_Francisco, CA,94110,37.758133,-122.408072
126, Bradford St,0,San_Francisco, CA,94110,37.740885,-122.4098
135, 8th St,0,San_Francisco, CA,94103,37.777225,-122.412513
160, Orsi Cir,0,San_Francisco, CA,94124,37.727547,-122.397558
285, Paris St,0,San_Francisco, CA,94112,37.724063,-122.43279
