id,image_url,street_number,street_name,street_type,apt_number,city,state,zipcode,price,bedrooms,lat,long,walkscore,built,listing_url,neighborhood,crime_rate
4,http://photos3.zillowstatic.com/p_f/ISh3mav0bfq44m1000000000.jpg,855,San Jose,Ave,,San Francisco,CA,94110,3300,2,37.74135,-122.4233,95,3000,http://www.zillow.com/homedetails/855-San-Jose-Ave-San-Francisco-CA-94110/2100549724_zpid/,Bernal Heights,C
5,http://photos2.zillowstatic.com/p_f/IShn5n9ihxjiso1000000000.jpg,604,Webster,St,,San Francisco,CA,94117,7995,4,37.77621,-122.4295,95,3000,http://www.zillow.com/homedetails/604-Webster-St-San-Francisco-CA-94117/2103580029_zpid/,Hayes Valley,C
6,http://photos2.zillowstatic.com/p_f/IShzylxi5rf4gy0000000000.jpg,2880,Jackson,St,,San Francisco,CA,94115,7700,3,37.79151,-122.4424,92,1909,http://www.zillow.com/homedetails/2880-Jackson-St-San-Francisco-CA-94115/2122648507_zpid/,Pacific Heights,A
8,http://photos1.zillowstatic.com/p_f/IS1b5uz5pzthe81000000000.jpg,2275,Sutter,St,APT 5,San Francisco,CA,94115,2150,Studio,37.78528,-122.4377,96,3000,http://www.zillow.com/homedetails/2275-Sutter-St-APT-5-San-Francisco-CA-94115/2110917975_zpid/,Western Addition,B
9,http://photos3.zillowstatic.com/p_f/ISxfaqum11tkmv0000000000.jpg,868,Minnesota,St,UNIT 412,San Francisco,CA,94107,4500,1,37.759689,-122.390861,84,2009,http://www.zillow.com/homedetails/868-Minnesota-St-UNIT-412-San-Francisco-CA-94107/111711241_zpid/,Central Waterfront - Dogpatch,B
10,http://photos3.zillowstatic.com/p_f/ISh327jdfpnl1z0000000000.jpg,1386,47th,Ave,,San Francisco,CA,94122,3200,2,37.7607,-122.507,79,1906,http://www.zillow.com/homedetails/1386-47th-Ave-San-Francisco-CA-94122/2100503675_zpid/,Outer Sunset,A
12,http://photos3.zillowstatic.com/p_f/IShjmda04lqjs40000000000.jpg,1446,Washington,St,,San Francisco,CA,94109,3195,1,37.79385,-122.4171,95,3000,http://www.zillow.com/homedetails/1446-Washington-St-San-Francisco-CA-94109/2113102356_zpid/,Nob Hill,B
14,http://photos2.zillowstatic.com/p_f/IS5mcy90irp8vc1000000000.jpg,2217,Scott,St,,San Francisco,CA,94115,3550,1,37.790582,-122.439551,94,3000,http://www.zillow.com/homedetails/2217-Scott-St-San-Francisco-CA-94115/2134318412_zpid/,Pacific Heights,B
16,http://photos1.zillowstatic.com/p_f/ISp98qp2htyk3o0000000000.jpg,930,Pine,St,APT 309,San Francisco,CA,94108,4000,1,37.791067,-122.411314,99,1972,http://www.zillow.com/homedetails/930-Pine-St-APT-309-San-Francisco-CA-94108/15068669_zpid/,Downtown,B
20,http://photos3.zillowstatic.com/p_f/IS9d0y7cj2aa6w0000000000.jpg,3354,Scott,St,,San Francisco,CA,94123,5600,3,37.801,-122.441,97,1924,http://www.zillow.com/homedetails/3354-Scott-St-San-Francisco-CA-94123/2100706352_zpid/,Marina,B
21,http://photos3.zillowstatic.com/p_f/ISlmfxc5bn26nc0000000000.jpg,1310,Fillmore,St,,San Francisco,CA,94115,5000,2,37.78284,-122.432488,99,2007,http://www.zillow.com/homedetails/1310-Fillmore-St-San-Francisco-CA-94115/2116677385_zpid/,Western Addition,C
22,http://photos2.zillowstatic.com/p_f/ISh3ucqkbgeq8b1000000000.jpg,2801,Folsom,St,,San Francisco,CA,94110,7000,6,37.75237,-122.4137,96,1969,http://www.zillow.com/homedetails/2801-Folsom-St-San-Francisco-CA-94110/2101389102_zpid/,Mission,C
24,http://photos3.zillowstatic.com/p_f/ISxfu5ofaub8qr0000000000.jpg,655,5th,St,# TOWNSEND,San Francisco,CA,94107,4300,1,37.77593,-122.3975,92,1999,http://www.zillow.com/homedetails/655-5th-St-TOWNSEND-San-Francisco-CA-94107/2100513436_zpid/,South of Market,C
27,http://photos2.zillowstatic.com/p_f/IShj6d7159xtvg1000000000.jpg,500,Bryant,St,,San Francisco,CA,94107,3650,1,37.78132,-122.3962,93,2000,http://www.zillow.com/homedetails/500-Bryant-St-San-Francisco-CA-94107/2105426967_zpid/,South of Market,B
28,http://photos1.zillowstatic.com/p_f/ISpdbfihmijroo0000000000.jpg,1150,Sacramento,St,,San Francisco,CA,94108,6500,2,37.79298,-122.4118,98,1989,http://www.zillow.com/homedetails/1150-Sacramento-St-San-Francisco-CA-94108/2101442275_zpid/,Nob Hill,B
30,http://photos1.zillowstatic.com/p_f/IS9lqfdr5udb4n1000000000.jpg,12,Washburn,St,,San Francisco,CA,94103,3000,1,37.77565,-122.4149,96,3000,http://www.zillow.com/homedetails/12-Washburn-St-San-Francisco-CA-94103/2101887744_zpid/,South of Market,B
32,http://photos3.zillowstatic.com/p_f/IS56gad4p7wftb1000000000.jpg,3550,Market,St,APT 302,San Francisco,CA,94131,4995,2,37.75629,-122.441894,73,1979,http://www.zillow.com/homedetails/3550-Market-St-APT-302-San-Francisco-CA-94131/15130253_zpid/,Twin Peaks,B
35,http://photos1.zillowstatic.com/p_f/IS9xja615tj09f0000000000.jpg,285,Paris,St,,San Francisco,CA,94112,2750,2,37.724063,-122.43279,90,1900,http://www.zillow.com/homedetails/285-Paris-St-San-Francisco-CA-94112/15169540_zpid/,Excelsior,C
