image_url,street_number,street_name,street_type,apt_number,city,state,zipcode,price,bedrooms
"http://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/37.734270,-122.395859/17?mapSize=150112,&key=AmdvKO2hNoyLePakiVzRBZiGPKCxV6MtwWneohoPfmXclTaRTzvT6_Ict5-PBHO6",126,Bradford,St,,San Francisco,CA,94110,3795,2
"http://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/37.793530,-122.426320/17?mapSize=150112,&key=AmdvKO2hNoyLePakiVzRBZiGPKCxV6MtwWneohoPfmXclTaRTzvT6_Ict5-PBHO6",,Pierce,St,,San Francisco,CA,94117,6195,3
http://photos2.zillowstatic.com/p_g/ISt824x2lfwodf0000000000.jpg,21,Hoffman,Ave,,San Francisco,CA,94114,3150,3
http://photos3.zillowstatic.com/p_g/ISh3mav0bfq44m1000000000.jpg,855,San Jose,Ave,,San Francisco,CA,94110,3300,2
http://photos2.zillowstatic.com/p_g/IShn5n9ihxjiso1000000000.jpg,604,Webster,St,,San Francisco,CA,94117,7995,4
http://photos2.zillowstatic.com/p_g/IShzylxi5rf4gy0000000000.jpg,2880,Jackson,St,,San Francisco,CA,94115,7700,3
http://photos1.zillowstatic.com/p_g/IS1rpc8653s4t81000000000.jpg,290,Pennsylvania,Ave,APT 3,San Francisco,CA,94107,3500,1
http://photos1.zillowstatic.com/p_g/IS1b5uz5pzthe81000000000.jpg,2275,Sutter,St,APT 5,San Francisco,CA,94115,2150,Studio
http://photos3.zillowstatic.com/p_g/ISxfaqum11tkmv0000000000.jpg,868,Minnesota,St,UNIT 412,San Francisco,CA,94107,4500,1
http://photos3.zillowstatic.com/p_g/ISh327jdfpnl1z0000000000.jpg,1386,47th,Ave,,San Francisco,CA,94122,3200,2
http://photos1.zillowstatic.com/p_g/ISdk8ogbu39oxl0000000000.jpg,1425,Vallejo,St,,San Francisco,CA,94109,5200,2
http://photos3.zillowstatic.com/p_g/IShjmda04lqjs40000000000.jpg,1446,Washington,St,,San Francisco,CA,94109,3195,1
http://photos2.zillowstatic.com/p_g/ISd0p7f1rd70r90000000000.jpg,560,Scott,St,APT 103,San Francisco,CA,94117,2400,Studio
http://photos2.zillowstatic.com/p_g/IS5mcy90irp8vc1000000000.jpg,2217,Scott,St,,San Francisco,CA,94115,3550,1
http://photos3.zillowstatic.com/p_g/IShjmpbl6y5mpu1000000000.jpg,954,Rhode Island,St,,San Francisco,CA,94107,3850,1
http://photos1.zillowstatic.com/p_g/ISp98qp2htyk3o0000000000.jpg,930,Pine,St,APT 309,San Francisco,CA,94108,4000,1
"http://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/37.763219,-122.423085/17?mapSize=150112,&key=AmdvKO2hNoyLePakiVzRBZiGPKCxV6MtwWneohoPfmXclTaRTzvT6_Ict5-PBHO6",,Blair,Ter,,San Francisco,CA,94107,3995,1
http://photos1.zillowstatic.com/p_g/ISlepvvf9te9h50000000000.jpg,75,Magellan,Ave,,San Francisco,CA,94116,9500,4
"http://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/37.781386,-122.421406/17?mapSize=150112,&key=AmdvKO2hNoyLePakiVzRBZiGPKCxV6MtwWneohoPfmXclTaRTzvT6_Ict5-PBHO6",3055,Market,St,,San Francisco,CA,94114,4800,2
http://photos3.zillowstatic.com/p_g/IS9d0y7cj2aa6w0000000000.jpg,3354,Scott,St,,San Francisco,CA,94123,5600,3
http://photos3.zillowstatic.com/p_g/ISlmfxc5bn26nc0000000000.jpg,1310,Fillmore,St,,San Francisco,CA,94115,5000,2
http://photos2.zillowstatic.com/p_g/ISh3ucqkbgeq8b1000000000.jpg,2801,Folsom,St,,San Francisco,CA,94110,7000,6
http://photos3.zillowstatic.com/p_g/IS5qbowjme1lco1000000000.jpg,46,Service,St,,San Francisco,CA,94123,6000,2
http://photos3.zillowstatic.com/p_g/ISxfu5ofaub8qr0000000000.jpg,655,5th,St,# TOWNSEND,San Francisco,CA,94107,4300,1
"http://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/37.755451,-122.491610/17?mapSize=150112,&key=AmdvKO2hNoyLePakiVzRBZiGPKCxV6MtwWneohoPfmXclTaRTzvT6_Ict5-PBHO6",,Lansdale,Ave,,San Francisco,CA,94127,6250,4
http://photos2.zillowstatic.com/p_g/ISphi356cdfq7o1000000000.jpg,814,Mission,St FL 6,,San Francisco,CA,94103,5000,1
http://photos2.zillowstatic.com/p_g/IShj6d7159xtvg1000000000.jpg,500,Bryant,St,,San Francisco,CA,94107,3650,1
http://photos1.zillowstatic.com/p_g/ISpdbfihmijroo0000000000.jpg,1150,Sacramento,St,,San Francisco,CA,94108,6500,2
http://photos3.zillowstatic.com/p_g/ISxrzlpbtzzq0u1000000000.jpg,475,25th,Avenue,6,San Francisco,CA,94121,2450,1
http://photos1.zillowstatic.com/p_g/IS9lqfdr5udb4n1000000000.jpg,12,Washburn,St,,San Francisco,CA,94103,3000,1
http://photos2.zillowstatic.com/p_g/ISto6mam9xstyt1000000000.jpg,954,Geary,St,,San Francisco,CA,94109,1950,Studio
http://photos3.zillowstatic.com/p_g/IS56gad4p7wftb1000000000.jpg,3550,Market,St,APT 302,San Francisco,CA,94131,4995,2
http://photos3.zillowstatic.com/p_g/IS91jonkojcgi41000000000.jpg,650,Turk,St,UNIT 302,San Francisco,CA,94102,3290,1
