street_number,street_name,street_type,apt_number,city,state,zipcode,price,bedrooms
4724, Mission, St, 0, San_Francisco,  CA, 94112, 3695, 4
107, Knockash, Hl, 0, San_Francisco,  CA, 94127, 8995, 5
733, Myra, Way, 0, San_Francisco,  CA, 94127, 3800, 2
2378, 22ND, Ave, 0, San_Francisco,  CA, 94116, 3800, 3
3355, Folsom, St, 0, San_Francisco,  CA, 94110, 4295, 2
856, Peru, Ave, 0, San_Francisco,  CA, 94112, 4500, 3
37, Santa Paula, Ave, 0, San_Francisco,  CA, 94127, 10995, 3
100, Font, Blvd,  APT 7D, San_Francisco,  CA, 94132, 2815, 1
310, Arballo, Dr,  # 2, San_Francisco,  CA, 94132, 3850, 2
112, Ripley, St,  APT 1, San_Francisco,  CA, 94110, 2800, 1
160, Santa Marina, St, 0, San_Francisco,  CA, 94110, 4600, 2
149, Mullen, Ave, 0, San_Francisco,  CA, 94110, 7900, 4
142, Gates, St, 0, San_Francisco,  CA, 94110, 6000, 2
303, Garces, Dr, 0, San_Francisco,  CA, 94132, 2820, 1
239, Castenada, Ave, 0, San_Francisco,  CA, 94116, 3900, 2
285, Paris, St, 0, San_Francisco,  CA, 94112, 2750, 2
163, Clearfield, Dr, 0, San_Francisco,  CA, 94132, 3995, 3
4130, Cesar Chavez, St, 0, San_Francisco,  CA, 94131, 3395, 1
4226, 25th, St, 0, San_Francisco,  CA, 94114, 12995, 4
11, Divisadero, St, 0, San_Francisco,  CA, 94117, 4850, 2
640, Myra, Way, 0, San_Francisco,  CA, 94127, 4100, 2
101, Crescent, Way,  APT 2216, San_Francisco,  CA, 94134, 3200, 2
415, Gonzalez, Dr, 0, San_Francisco,  CA, 94132, 3625, 2
55 1/2,  Lucy, St, 0, San_Francisco,  CA, 94124, 2750, 2
360, Hyde, St, 0, San_Francisco,  CA, 94109, 1745,  Studio
491, 29th, St, 0, San_Francisco,  CA, 94131, 4980, 3
3637, 18th, St,  APT 1, San_Francisco,  CA, 94110, 6200, 3
3245, Vicente, St,  APT 1, San_Francisco,  CA, 94116, 2100, 1
501, Crescent, Way,  #5112, San_Francisco,  CA, 94134, 1500, 1
8, Keystone, Way,  APT 3A, San_Francisco,  CA, 94127, 3200, 2
283, Cresta Vista, Dr, 0, San_Francisco,  CA, 94127, 5195, 4
332, Russia, Ave, 0, San_Francisco,  CA, 94112, 3150, 2
233, Dorado, Ter, 0, San_Francisco,  CA, 94112, 4500, 3
1478, Church, St, 0, San_Francisco,  CA, 94131, 7600, 4
4324, Cesar Chavez, St, 0, San_Francisco,  CA, 94131, 4995, 2
10, Harbor, Rd, 0, San_Francisco,  CA , 94124, 900, 1
285, Paris, St,  # A, San_Francisco,  CA, 94112, 2750, 2
2852, Bryant, St, 0, San_Francisco,  CA, 94110, 11995, 6
102, Santa Marina, St, 0, San_Francisco,  CA, 94110, 6995, 3
5285, Diamond Heights, Blvd, 0, San_Francisco,  CA, 94131, 3445, 1
20, Rivas, Ave, 0, San_Francisco,  CA, 94132, 3650, 2
5150, Diamond Heights, Blvd,  APT 107B, San_Francisco,  CA, 94131, 3600, 1
4236, 25th, St,  APT 01, San_Francisco,  CA, 94114, 2500,  Studio
388, Beale, St, 0, San_Francisco,  CA, 94105, 3720, 1
388, Beale, St, 0, San_Francisco,  CA, 94105, 4568, 2
5106, Diamond Heights, Blvd, 0, San_Francisco,  CA, 94131, 5500, 3
1740, Oakdale, Ave, 0, San_Francisco,  CA, 94124, 2800, 2
6, Skyview, Way, 0, San_Francisco,  CA, 94131, 4500, 3
908, Steiner, St,  # B, San_Francisco,  CA, 94117, 2995, 1
300, Judson, Ave,  # B, San_Francisco,  CA, 94112, 2495, 3
200, Portola, Dr, 0, San_Francisco,  CA, 94131, 4000, 2
408, Font, Blvd, 0, San_Francisco,  CA, 94132, 3625, 2
4220, 26th, St, 0, San_Francisco,  CA, 94131, 2900, 1
234, Randall, St, 0, San_Francisco,  CA, 94131, 5900, 3
106, Edna, St, 0, San_Francisco,  CA, 94112, 5500, 4
238, Evelyn, Way, 0, San_Francisco,  CA, 94127, 3950, 3
144, Clinton, Park,  # B, San_Francisco,  CA, 94103, 2000,  Studio
465, 30th, St, 0, San_Francisco,  CA, 94131, 4350, 3
200, Dellbrook, Ave, 0, San_Francisco,  CA, 94131, 4600, 3
3070, San Bruno, Ave, 0, San_Francisco,  CA, 94134, 2200, 1
86, Everglade, Dr, 0, San_Francisco,  CA, 94132, 3900, 3
2131, 34th, Ave, 0, San_Francisco,  CA, 94116, 3700, 2
240, Portola, Dr, 0, San_Francisco,  CA, 94131, 4900, 2
4319, Cesar Chavez, St, 0, San_Francisco,  CA, 94131, 4290, 2
